NAME,total_households,no_vehicle_households,state_fips,county_fips,tract_fips,GEOID,pct_no_vehicle
Census Tract 398; Bronx County; New York,1221,380,36,005,039800,36005039800,0.31122031122031124
Census Tract 399.01; Bronx County; New York,1660,1315,36,005,039901,36005039901,0.7921686746987951
Census Tract 399.02; Bronx County; New York,1756,1269,36,005,039902,36005039902,0.7226651480637813
Census Tract 401; Bronx County; New York,2103,1622,36,005,040100,36005040100,0.7712791250594389
Census Tract 403.02; Bronx County; New York,1619,1131,36,005,040302,36005040302,0.6985793699814701
Census Tract 403.03; Bronx County; New York,1406,988,36,005,040303,36005040303,0.7027027027027027
Census Tract 403.04; Bronx County; New York,1286,1044,36,005,040304,36005040304,0.8118195956454122
Census Tract 404; Bronx County; New York,1114,344,36,005,040400,36005040400,0.3087971274685817
Census Tract 405.01; Bronx County; New York,1441,1160,36,005,040501,36005040501,0.8049965301873698
Census Tract 405.02; Bronx County; New York,2477,1651,36,005,040502,36005040502,0.6665320952765442
Census Tract 406; Bronx County; New York,1353,594,36,005,040600,36005040600,0.43902439024390244
Census Tract 407.01; Bronx County; New York,1258,979,36,005,040701,36005040701,0.7782193958664547
Census Tract 407.02; Bronx County; New York,2882,1947,36,005,040702,36005040702,0.6755725190839694
Census Tract 408; Bronx County; New York,1624,1028,36,005,040800,36005040800,0.6330049261083743
Census Tract 409; Bronx County; New York,1380,727,36,005,040900,36005040900,0.5268115942028986
